,Cargo.toml,README.md,benchmark/benchmark.rs,buildsa/buildsa.rs,data/data.txt,data/ecoli.fa,data/query.fa,data/query_res.txt,querysa/querysa.rs,results/result.txt,src/buildsa/mod.rs,src/commons.rs,src/commons/commons.rs,src/commons/fasta_file.rs,src/commons/mod.rs,src/commons/prefix_table.rs,src/commons/query_mode.rs,src/commons/suffix_array.rs,src/fasta_file.rs,src/lib.rs,src/main.rs,src/prefix_table.rs,src/query_mode.rs,src/querysa/mod.rs,src/suffix_array.rs
Cargo.toml,0,2,2,2,2,2,2,2,2,2,4,2,2,2,4,2,2,2,4,2,4,2,2,4,4
README.md,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4
benchmark/benchmark.rs,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4
buildsa/buildsa.rs,2,0,0,0,0,0,0,0,2,0,2,2,0,0,2,0,0,0,2,2,2,2,2,2,2
data/data.txt,2,0,0,0,0,4,4,4,0,2,2,0,2,2,2,2,2,2,0,0,2,0,0,2,0
data/ecoli.fa,2,0,0,0,4,0,4,4,0,2,2,0,2,2,2,2,2,2,0,0,2,0,0,2,0
data/query.fa,2,0,0,0,4,4,0,4,0,2,2,0,2,2,2,2,2,2,0,0,2,0,0,2,0
data/query_res.txt,2,0,0,0,4,4,4,0,0,2,2,0,2,2,2,2,2,2,0,0,2,0,0,2,0
querysa/querysa.rs,2,0,0,2,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,2,2,2,2,2,2
results/result.txt,2,0,0,0,2,2,2,2,0,0,2,0,2,2,2,2,2,2,0,0,2,0,0,2,0
src/buildsa/mod.rs,4,0,0,2,2,2,2,2,2,2,0,2,2,2,4,2,2,2,2,2,4,2,2,4,2
src/commons.rs,2,0,0,2,0,0,0,0,2,0,2,0,0,0,2,0,0,0,2,2,2,2,2,2,2
src/commons/commons.rs,2,0,0,0,2,2,2,2,0,2,2,0,0,2,2,4,2,4,0,0,4,0,0,2,0
src/commons/fasta_file.rs,2,0,0,0,2,2,2,2,0,2,2,0,2,0,2,2,2,2,0,0,2,0,0,2,0
src/commons/mod.rs,4,0,0,2,2,2,2,2,2,2,4,2,2,2,0,2,2,2,2,2,4,2,2,4,2
src/commons/prefix_table.rs,2,0,0,0,2,2,2,2,0,2,2,0,4,2,2,0,2,4,0,0,4,0,0,2,0
src/commons/query_mode.rs,2,0,0,0,2,2,2,2,0,2,2,0,2,2,2,2,0,2,0,0,2,0,0,2,0
src/commons/suffix_array.rs,2,0,0,0,2,2,2,2,0,2,2,0,4,2,2,4,2,0,0,0,4,0,0,2,0
src/fasta_file.rs,4,2,2,2,0,0,0,0,2,0,2,2,0,0,2,0,0,0,0,2,2,2,2,2,4
src/lib.rs,2,0,0,2,0,0,0,0,2,0,2,2,0,0,2,0,0,0,2,0,2,2,2,2,2
src/main.rs,4,0,0,2,2,2,2,2,2,2,4,2,4,2,4,4,2,4,2,2,0,2,2,4,2
src/prefix_table.rs,2,0,0,2,0,0,0,0,2,0,2,2,0,0,2,0,0,0,2,2,2,0,2,2,2
src/query_mode.rs,2,0,0,2,0,0,0,0,2,0,2,2,0,0,2,0,0,0,2,2,2,2,0,2,2
src/querysa/mod.rs,4,0,0,2,2,2,2,2,2,2,4,2,2,2,4,2,2,2,2,2,4,2,2,0,2
src/suffix_array.rs,4,4,4,2,0,0,0,0,2,0,2,2,0,0,2,0,0,0,4,2,2,2,2,2,0
